,Institution,Country,Artificial Intelligence,Telecommunication Engineering,Medical Science,Disease Analysis,Biomedical Research,Environmental Science,Pharmaceutical Science,Chemical Science,Energy and Power Systems,Social and Business Studies,Keywords,Cluster Keywords,Cluster,Subject Area
41,Abrar University,Sudan,0.0090920967844438,0.0090933161880674,0.0090915965413063,0.0090909091422542,0.009092406126405,0.9181652882969754,0.009091104345123,0.0090930206954838,0.0090954270660615,0.0090948348138796,['Not Available'],control species activity antioxidant thailand,6,Environmental Science
42,Abuja,Nigeria,0.0142865362494986,0.0142868253846529,0.0142865954199271,0.8714238253595263,0.0142857142912202,0.0142858247483186,0.0142861458016566,0.0142862951117636,0.0142862053717486,0.0142860322616871,"['Temperature', 'Mechanical Properties Of PEDOT', 'Organic Solar Cells', 'Annealing Temperature', 'Perovskite Layer', 'Young’s Modulus', 'Blend Ratio', 'Hole-transporting Materials', 'Mechanical Properties', 'Temperature Regimes', 'Microstructural Changes', 'Heat Treatment', 'Scanning Probe Microscopy', 'Microstructure', 'Ammonium Hydroxide', 'Organic light emitting diodes', 'Thin Films', 'Probability Density Function', 'Surface morphology', 'Surface Morphology', 'Polymeric Materials', 'Blend Morphology', 'Properties Of Blends', 'Perovskites', 'Mechanical factors', 'Heat Treatment Temperature', 'Atomic Force Microscopy', 'Transition Metal Oxides', 'Organic Light-emitting Diodes', 'Optoelectronic Properties', 'Decrease In Hardness', 'Diode Applications', 'Annealing', 'Fluorine-doped Tin Oxide', 'Morphology', 'Hole transport materials', 'Spin-coated', 'Solar cell', 'Nanoparticles', 'PSS Film']",covid 19 analysis optical acid,4,Disease Analysis
43,Academia Sinica,France,0.0100013642886766,0.0100013993941602,0.0100005216482253,0.0100001131242561,0.0100002463250641,0.0100000308870264,0.0100002199660973,0.3087120734427943,0.0100000000298767,0.6112840308938225,"['Galaxies: Active', 'Galaxies: Evolution', 'Galaxies: High-redshift', 'Galaxies: Photometry', 'Galaxies: Star formation', 'Submillimeter: Galaxies']",thailand social business based technology,1,Social and Business Studies
46,Academy of Science,Thailand,0.0090911633280419,0.0090911819283405,0.0090914502203401,0.0090912021160672,0.0090919952975923,0.0090923277185752,0.009091081253257,0.0090923167644892,0.009092092848606,0.9181751885246902,"['Encapsulation', 'Fluoroalkylsilane', 'Natural rubber', 'Oil/water separation superhydrophobic/superoleophilic mesh']",thailand social business based technology,1,Social and Business Studies
47,Academy of Sciences of the Republic of Uzbekistan,France,0.0076926777365359,0.0076957848930188,0.1004442880731621,0.0076979337763515,0.0846767591475169,0.0076967375024049,0.0076926473348661,0.0076955697178612,0.0076923484644986,0.7610152533537835,['Not Available'],thailand social business based technology,1,Social and Business Studies
49,Access Network Service Systems Laboratories,Japan,0.8110267784099904,0.0730833876895124,0.0011634731647167,0.0011629167076454,0.0011628344001623,0.0011629615041992,0.1077489049754525,0.001162843600717,0.0011629267331523,0.0011629728144513,"['Base Layer', 'Uniform Strategy', 'User Movement', 'Entire Video', 'Video Resolution', 'User Perspective', 'Degradation', 'Quality Degradation', 'Headphones', 'Part Of The Video', 'Macro Base Station', 'Hybrid multicast and unicast', 'Multicast', 'Unicast', 'JPEG-XS', 'Remote Server', 'Quality assessment', 'VR', 'Quality Of Experience', 'Servers', 'Virtual reality', 'Single Frame', 'Video recording', 'Video Coding', 'Multiple Users', 'Network Delay', 'Fixed Point', 'Video Delivery', 'Base Station', 'Video Quality', 'Edge Server', 'Video Content', '360-degree Video', 'Hyperbaric Oxygen', 'Small Base Stations']",learning network data model neural,3,Artificial Intelligence
50,Adamas University,India,0.8907315707982963,0.0012197124142221,0.0012195874266564,0.0995115048768847,0.0012195594178057,0.0012195873127133,0.0012195688095776,0.0012195835873312,0.0012196678957126,0.0012196574607997,"['Convolutional Layers', 'COVID-19', 'COVID-19 pneumonia', 'Computer-aided Diagnosis', 'Pulmonary diseases', 'Pleural Effusion', 'COVID Pneumonia', 'Pulmonary Infiltrates', 'Deep Convolutional Neural Network', 'Types Of Images', 'Chest X-ray Images', 'Max-pooling Layer', 'Network Training Process', 'Network Training', 'Coronavirus', 'Ground-glass Opacities', 'Halo Sign', 'Number Of Filters', 'CT images', 'Artificial Intelligence', 'Lung', 'Image Classification', 'Convolution', 'Artificial Neural Network', 'Convolution Neural Network', 'Computed tomography', 'Pneumonia Cases', 'Transfer Learning', 'chest X-rays', 'Public healthcare', 'non-COVID Pneumonia', 'Convolutional Neural Network', 'Chest X-ray', 'Chest Computed Tomography Scan', 'Coronavirus Disease', 'Pandemics', 'Chest Computed Tomography Images', 'Machine Learning', 'Neural Network', 'Convolutional Block']",learning network data model neural,3,Artificial Intelligence
51,Adi Shankara Institute of Engineering and Technology,India,0.6735890630741631,0.0010755846314402,0.0010753920340742,0.0010758258574748,0.0010754072535804,0.0010756387349317,0.0010753230637805,0.0010753534190657,0.001075500757667,0.3178069111738221,"['Categorical Values', 'Markov Decision Process', 'security', 'Analytical models', 'Traffic Prediction', 'Smart Grid', 'Support vector machines', 'Smart Buildings', 'Data models', 'Industrial Internet Of Things', 'Measurement', 'Encryption', 'K-nearest Neighbor', 'Industrial Systems', 'Learning Algorithms', 'Industrial Internet of Things', 'the intrusion detection system', 'Computational modeling', 'machine learning', 'Attack detection', 'Regression Tree', 'Machine Learning Classifiers', 'Oil And Gas', 'Feature Column', 'Gradient Boosting', 'Anomaly Detection', 'Attack Detection', 'hybrid model', 'Hybrid Machine Learning', 'Threat assessment', 'Linear Discriminant Analysis', 'Positive Instances', 'Support Vector Machine', 'Smart Home', 'AdaBoost', 'Machine Learning', 'Neural Network', 'Computer crime', 'Performance Metrics']",learning network data model neural,3,Artificial Intelligence
53,Adolescent Treatment Coalition,United Kingdom,0.8874947575100525,0.0125010710991507,0.0125000000401301,0.0125004869660373,0.0125000000580237,0.0125000000571958,0.0125036160001498,0.0125000000388122,0.0125000681785635,0.012500000051884,"['Adolescents', 'HIV', 'HIV service delivery', 'HIV testing', 'HIV treatment', 'Research agenda']",learning network data model neural,3,Artificial Intelligence
54,Advanced Analysis Center,Thailand,0.0100002352904357,0.0100021663597735,0.0100016452456967,0.0100003680290001,0.5241192785942704,0.0100021387459363,0.0100020633057222,0.3958696347994797,0.0100016823509535,0.0100007872787313,"['Active site histidine', 'Amylomaltase', 'Corynebacterium glutamicum', 'Cyclization', 'Large-ring cyclodextrin (LR-CD)', 'Transglucosylation']",hiv thailand bone cells poly,5,Biomedical Research
55,Aerospace Information Research Institute,China,0.9669079114850212,0.0013159016911221,0.0013159319994838,0.0013159883817306,0.0013158232102472,0.0013158327091849,0.0013159098267579,0.0013158388916621,0.0225649215692883,0.0013159402355015,"['Charge coupled devices', 'Pixel Detector', 'Time measurement', 'Cameras', 'Mechanical Systems', 'CCD Detector', 'Host Computer', 'Software Interface', 'Output Voltage Signal', 'Software', 'Analog-to-digital Converter', 'Signal Processing', 'Data Acquisition Card', 'mechanical shutter', 'Exposure Time', 'Mechanical Performance', 'Front Panel', 'Positive Pulse', 'LabVIEW', 'Signal processing', 'Pulse Width', 'Acquisition Card', 'Influence Of Performance', 'exposure time', 'Mechanical Testing System', 'Quantum Efficiency', 'Mechanical Shutter', 'Good Consistency', 'Time Delay', 'Performance evaluation', 'Integration Time', 'Device Structure', 'Testing', 'CCD', 'Programming Environment', 'delay time']",learning network data model neural,3,Artificial Intelligence
56,Afe Babalola University,Nigeria,0.0125006308256472,0.0125005086051569,0.1597460365678547,0.0125017367633723,0.0125014712438891,0.0125020160495067,0.7402428040039408,0.0125029832412299,0.0125002234096601,0.0125015892897419,"['Cost', 'Process control', 'Power', 'Increased Energy', 'Production management', 'Natural Gas', 'Complex Machine', 'Rebound Effect', 'Outside Temperature', 'Building Envelope', 'Energy', 'Adaptive System', 'Energy Efficiency', 'Bubble Nucleation', 'Wind Power', 'Haber Bosch', 'Conservation', 'Internet Of Things', 'Lower Heating Value', 'Pricing', 'Compact Fluorescent Lamps', 'Power Grid', 'Ammonia Synthesis', 'Power Efficiency', 'Real-time systems', 'Power In China', 'Renewable Energy', 'Reviews', 'Smart City', 'Energy Utilization', 'Market Failure', 'Efficient Manufacturing', 'Energy Subsidies', 'Energy Conservation', 'Dependability', 'Internet Of Things Technology', 'Energy efficiency', 'Light-emitting Diode Light', 'Energy Vector', 'Manufacturing']",vaccine learning drug thai molecular,2,Pharmaceutical Science
57,Africa Health Research Institute,United Kingdom,0.007143334977436,0.3874047560963576,0.0071441200890504,0.0071442503182118,0.0071443900721001,0.0071468160693022,0.0071454804689143,0.0840496722521002,0.0071430670148198,0.4785341126417073,"['Adolescents', 'HIV', 'HIV service delivery', 'HIV testing', 'HIV treatment', 'Research agenda']",thailand social business based technology,1,Social and Business Studies
60,Agency for Defense Development,South Georgia And The South Sandwich Islands,0.0055563567349677,0.005556112025106,0.005556557256609,0.2640135498856046,0.0055569915208973,0.5155883692874369,0.0055565221118596,0.0055561773392533,0.1815016141555163,0.0055577496827491,"['Multi-agent systems', 'Fuses', 'Games', 'Heterogeneous agent', 'transformer', 'multi-agent reinforcement learning', 'Reinforcement learning', 'Transformers', 'Task analysis', 'Training']",control species activity antioxidant thailand,6,Environmental Science
61,Agency for Science,China,0.0142857143019503,0.0142858383201121,0.0142864751839713,0.0142878095088367,0.4096823118265214,0.0142862656138549,0.4760263578639596,0.014286235547064,0.0142860126204072,0.0142869792133223,"['optimization algorithm', 'Roads', 'Vehicular edge computing', 'resource allocation', 'Urban areas', 'Delays', 'Vehicle dynamics', 'matching algorithm', 'Computational modeling', 'Handover', 'Servers']",vaccine learning drug thai molecular,2,Pharmaceutical Science
62,Agensi Nuklear Malaysia,France,0.0047619047628192,0.0047619992696403,0.0047620070521532,0.0047632451540345,0.0047620057718669,0.0047620717846712,0.9571410099795464,0.0047619110844489,0.0047619188825781,0.0047619262582409,"['Hadron-Hadron scattering (experiments)', 'Supersymmetry']",vaccine learning drug thai molecular,2,Pharmaceutical Science
64,Ahsanullah University of Science and Technology,Bangladesh,0.9895340340188694,0.001162890767657,0.0011628402734016,0.001162906161716,0.0011628270895332,0.0011628128579508,0.0011628277351767,0.0011631154214745,0.0011628925604763,0.0011628531137442,"['Energy Transport', 'Peak Power', 'Single Crystal Fibers', 'quartic soliton', 'Refractive Index Of Material', 'Single Fiber', 'Solitary Wave', 'Mathematical models', 'Perfectly Matched Layer', 'Optical fiber dispersion', 'Self-phase Modulation', 'Solitons', 'Microstructured Optical Fiber', 'Air Holes', 'Photonic Waveguides', 'Thermal Stability', 'Laser stability', 'Pulse Width', 'Single Material', 'Optical waveguides', 'Thermal stability', 'Black Dashed Line', 'Cataract Surgery', 'Nonlinear Optical', 'Single Crystal', 'Ps Pulse', 'Microfabrication', 'Optical fibers', 'Fourth order dispersion', 'High Index', 'Photonic crystal fiber', 'Pulse Generator', 'Optical Fiber']",learning network data model neural,3,Artificial Intelligence
65,Ain Shams University,France,0.0090910485005384,0.0090937667399954,0.0090921465436828,0.009093578882241,0.0090932196888672,0.1902238709050223,0.0090910840682416,0.4021061958745245,0.34402297347792,0.0090921153189662,['Not Available'],carbon oil acid properties kidney,9,Chemical Science
66,Air University,Pakistan,0.6001226324310234,0.3909875058004212,0.0011111806132342,0.0011113959062846,0.0011111554142707,0.0011112538157765,0.0011111907138258,0.0011111612730152,0.0011113317226442,0.0011111923095041,"['Location awareness', 'Digital Filter', 'Pedestrian Dead Reckoning', 'Dead Reckoning', 'Indoor Navigation', 'Machine learning', 'Localization Accuracy', 'Localization Techniques', 'Hybrid Model', 'Indoor Localization', 'Sensor Fusion Algorithm', 'Wireless', 'an inertial navigation system', 'sensor fusion', 'Local Services', 'Inertial Navigation', 'K-nearest Neighbor', 'Kalman Filter', 'Local System', 'Global Positioning System', 'Local Algorithm', 'machine learning', 'Bluetooth', 'Object Position', 'Dead reckoning', 'Extended Kalman Filter', 'Radio Frequency Identification', 'Butterworth Digital Filter', 'Object Detection', 'Global Navigation Satellite System', 'Positioning System', 'Magnetometer', 'Machine learning algorithms', 'Inertial Measurement Unit', 'Indoor Environments', 'BLE', 'pedestrian dead reckoning', 'Accelerometer', 'PDR', 'Multi-storey', 'Estimation', 'Indoor navigation', 'Position Estimation']",learning network data model neural,3,Artificial Intelligence
69,Ajmer,India,0.0076948989744769,0.007694881065292,0.0076924377533461,0.0076933529570968,0.0076943569175892,0.0951289676247448,0.0076925799516797,0.0076949357667184,0.8433209392890935,0.0076926496999623,"['Healthcare Costs', 'Costs', 'Early Detection', 'Learning Algorithms', 'Decision Support System', 'Machine Learning Systems', 'Early Diagnosis', 'Gradient Boosting', 'Lower Healthcare Costs', 'Machine Learning (ML)', 'F1 Score', 'Sepsis Patients', 'Clinical Decision Support Systems', 'Septic Shock', 'Decision making', 'Prediction Algorithms', 'Vital Signs', 'Target Variable', 'Ethics', 'Decision Tree', 'Patient Outcomes', 'Sepsis Survivors', 'Early Diagnosis Of Sepsis', 'Patient Care', 'Legionella', 'Clinical Decision-making', 'Complex Statistical Models', 'Machine learning algorithms', 'Prediction Time', 'Weak Learners', 'Sepsis', 'Detection Of Sepsis', 'Early Sepsis', 'Fast Prediction', 'Medical services', 'Training Time', 'Training', 'Performance Of Algorithm', 'Hospital Patients', 'Early Sepsis Detection']",energy power voltage analysis electric,8,Energy and Power Systems
70,Akita University,Japan,0.8999887624600924,0.0111174368980586,0.0111112461516087,0.0111111725599753,0.0111111359708679,0.0111111248376587,0.0111136106901509,0.0111120765678334,0.0111119589109509,0.0111114749528028,"['Measurement uncertainty', 'Shape', 'Size measurement', 'Electric variables measurement', 'Shape measurement', 'Contacts', 'Conductivity']",learning network data model neural,3,Artificial Intelligence
71,Al Ain University,Jordan,0.0125000000171734,0.0125000000544042,0.0125018339085874,0.0125001351511378,0.8874969569070489,0.0125001905820291,0.0125000061230825,0.0125007418283186,0.0125000853691149,0.0125000500591029,"['Transition Probabilities', 'Battery Capacity', 'Reinforcement Learning Algorithm', 'Markov Decision Process', 'State-value Function', 'Simulation', 'Multi-target Detection', 'Dynamic Target', 'Unmanned Aerial Vehicle Technology', 'Reinforcement Learning Agent', 'Q-learning', 'State Of Charge', 'Battery Level', 'Convergence Of Method', 'Surveillance', 'Unmanned Aerial Vehicles', 'Secondary Cell', 'Distance Function', 'Heuristic algorithms', 'Maximum Capacity', 'Exploration Algorithm', 'Target tracking', 'Optimal Position', 'Action-value Function', 'Charging stations', 'Spatial Configuration', 'Instantaneous Reward', 'Energy Levels', 'Value Function', 'Time Slot', 'Reinforcement learning', 'Autonomous aerial vehicles', 'Target Acquisition', 'Weight Function']",hiv thailand bone cells poly,5,Biomedical Research
81,Albert Einstein Healthcare Network,Thailand,0.0111124833929198,0.0111139773595406,0.3638460455879982,0.011112318333485,0.3389320410967655,0.0111137050649226,0.0111140874772923,0.0111152487625481,0.0111150421076756,0.2194250508168518,"['Implantable cardioverter- defibrillator', 'Internal jugular vein thrombosis', 'Kidney transplant']",cancer health stress cell thailand,0,Medical Science
82,Alice Ho Miu Ling Nethersole Hospital,France,0.0100000000014536,0.0100001335628439,0.0100000141023806,0.0100085890580406,0.0100000939804037,0.0100000000220155,0.9099909094820142,0.0100001051565023,0.0100000000035195,0.0100001546308258,"['entecavir', 'HBeAg negative hepatitis B virus infection', 'nucleos(t)ide discontinuation', 'tenofovir', 'Virological relapse']",vaccine learning drug thai molecular,2,Pharmaceutical Science
83,Aligarh Muslim University,India,0.787692165519018,0.1234061189161896,0.0111115321092553,0.0111112111026074,0.0111121623645324,0.0111172997194051,0.0111127096809642,0.0111119167299919,0.0111137725392448,0.0111111113187907,"['Cardinality Constraint', 'Particle Swarm Optimization', 'Data analysis', 'Portfolio Selection', 'Metaheuristics', 'Optimal Portfolio', 'Asexual Reproduction', 'Measurement', 'Portfolio optimization', 'Hunting Behavior', 'Portfolios', 'Golden Eagle Optimization', 'Computational modeling', 'Stock markets', 'Stock Market', 'Hyperplane', 'Industries', 'Optimization Problem', 'Golden Eagle', 'Efficient Frontier', 'Attack Vector', 'Neural Network', 'Portfolio Selection Model', 'Harmony Search']",learning network data model neural,3,Artificial Intelligence
84,Alikhanov Institute for Theoretical and Experimental Physics,France,0.0050001696723131,0.0050014580008095,0.0050011921847979,0.0050009960682581,0.0050033492474065,0.0050010981265742,0.9549905043825276,0.0050003943007784,0.0050001266788183,0.0050007113377157,['Not Available'],vaccine learning drug thai molecular,2,Pharmaceutical Science
85,All India Institute of Medical Sciences,United Kingdom,0.2656666678314733,0.0076930910589999,0.6727872851237765,0.0076935319928065,0.0076929865683151,0.0076925296681423,0.0076927883786452,0.0076960353914423,0.0076925054507797,0.0076925785356189,['Not Available'],cancer health stress cell thailand,0,Medical Science
86,Allana Potash Corporation,United Kingdom,0.3464378767906677,0.0111141483561293,0.01111153012011,0.0111136894452597,0.0111117814973751,0.0111130742684531,0.0111134718055041,0.0111130158509942,0.5646586822825806,0.0111127295829257,"['borehole', 'Danakil', 'Ethiopia', 'evaporite', 'rifting', 'seismology']",energy power voltage analysis electric,8,Energy and Power Systems
88,Alphavet Veterinary Diagnostic Imaging,United Kingdom,0.7952036192374049,0.0066666960292559,0.0066668247192034,0.0066667010215886,0.0066668043251595,0.0066668832549798,0.1514608074741718,0.0066666938206153,0.0066673736374098,0.0066675964802106,"['arterioportal fistula', 'arterioportal malformation', 'congenital vascular anomaly']",learning network data model neural,3,Artificial Intelligence
89,American University of the Middle East,Kuwait,0.0076926442866845,0.0076925933906987,0.0076937758951701,0.0076939730019708,0.0076935009106999,0.0076930653306655,0.0076930851201055,0.0076957701667819,0.9307592372057576,0.0076923546914651,"['Language Model', 'Clear Instructions', 'Smart cities', 'Learning Process', 'Misinformation', 'Methodological Assessment', 'Improper Use', 'Previous Word', 'ChatGPT', 'Artificial Intelligence Technology', 'Forecasting', 'Clear Objectives', 'Predictive models', 'Reflection Component', 'Accuracy', 'Transformers', 'Foundation Model', 'Sequence Of Words', 'Application Of Knowledge', 'Academic Integrity', 'Communication Skills', 'Artificial intelligence', 'Learning Outcomes', 'Context modeling', 'Artificial intelligence (AI)', 'Standards', 'Computer Use', 'Constructive Feedback', 'Chatbots', 'Use Of Artificial Intelligence', 'Student Understanding', 'Technological innovation', 'Assessment methodologies', 'Research Papers', 'Academic integrity', 'Era Of Artificial Intelligence', 'Critical Thinking', 'Assessment Tasks', 'Evaluation strategies', 'Real-world Context', 'Learning Objectives', 'Artificial Intelligence Tools']",energy power voltage analysis electric,8,Energy and Power Systems
90,Amity University Jharkhand,India,0.3297478582022735,0.0076927171190593,0.0076923077602287,0.6087116724535333,0.0076923445160465,0.0076934303116104,0.0076923497183583,0.0076923077351078,0.0076926854902956,0.0076923266934861,"['Major Regions', 'Botanical Research', 'Possibility Of Application', 'Neural Network', 'Learning Algorithms', 'Neural networks', 'Support Vector Machine', 'Statistics', 'Accuracy', 'Image Processing', 'Image Classification', 'Computer Vision', 'Multilayer Perceptron', 'Manuals', 'Second Derivative', 'Big Data Analytics', 'Canny Edge Detection', 'Iris', 'Manual Feature Extraction', 'Gaussian Blur', 'Neural Net', 'Image segmentation', 'Scaling Factor', 'Artificial Neural Network', 'Plant Identification', 'Deep learning', 'Deep Learning', 'Image-based System', 'Convolutional Neural Network', 'Fast Forward', 'Convex Hull', 'Computational modeling', 'Flora Segmentation']",covid 19 analysis optical acid,4,Disease Analysis
