,Institution,Country,Artificial Intelligence,Telecommunication Engineering,Medical Science,Disease Analysis,Biomedical Research,Environmental Science,Pharmaceutical Science,Chemical Science,Energy and Power Systems,Social and Business Studies,Keywords,Cluster Keywords,Cluster,Subject Area
55,Aerospace Information Research Institute,China,0.966907911,0.001315902,0.001315932,0.001315988,0.001315823,0.001315833,0.00131591,0.001315839,0.022564922,0.00131594,"['Charge coupled devices', 'Pixel Detector', 'Time measurement', 'Cameras', 'Mechanical Systems', 'CCD Detector', 'Host Computer', 'Software Interface', 'Output Voltage Signal', 'Software', 'Analog-to-digital Converter', 'Signal Processing', 'Data Acquisition Card', 'mechanical shutter', 'Exposure Time', 'Mechanical Performance', 'Front Panel', 'Positive Pulse', 'LabVIEW', 'Signal processing', 'Pulse Width', 'Acquisition Card', 'Influence Of Performance', 'exposure time', 'Mechanical Testing System', 'Quantum Efficiency', 'Mechanical Shutter', 'Good Consistency', 'Time Delay', 'Performance evaluation', 'Integration Time', 'Device Structure', 'Testing', 'CCD', 'Programming Environment', 'delay time']",learning network data model neural,3,Artificial Intelligence
56,Afe Babalola University,Nigeria,0.012500631,0.012500509,0.159746037,0.012501737,0.012501471,0.012502016,0.740242804,0.012502983,0.012500223,0.012501589,"['Cost', 'Process control', 'Power', 'Increased Energy', 'Production management', 'Natural Gas', 'Complex Machine', 'Rebound Effect', 'Outside Temperature', 'Building Envelope', 'Energy', 'Adaptive System', 'Energy Efficiency', 'Bubble Nucleation', 'Wind Power', 'Haber Bosch', 'Conservation', 'Internet Of Things', 'Lower Heating Value', 'Pricing', 'Compact Fluorescent Lamps', 'Power Grid', 'Ammonia Synthesis', 'Power Efficiency', 'Real-time systems', 'Power In China', 'Renewable Energy', 'Reviews', 'Smart City', 'Energy Utilization', 'Market Failure', 'Efficient Manufacturing', 'Energy Subsidies', 'Energy Conservation', 'Dependability', 'Internet Of Things Technology', 'Energy efficiency', 'Light-emitting Diode Light', 'Energy Vector', 'Manufacturing']",vaccine learning drug thai molecular,2,Pharmaceutical Science
57,Africa Health Research Institute,United Kingdom,0.007143335,0.387404756,0.00714412,0.00714425,0.00714439,0.007146816,0.00714548,0.084049672,0.007143067,0.478534113,"['Adolescents', 'HIV', 'HIV service delivery', 'HIV testing', 'HIV treatment', 'Research agenda']",thailand social business based technology,1,Social and Business Studies
60,Agency for Defense Development,South Georgia And The South Sandwich Islands,0.005556357,0.005556112,0.005556557,0.26401355,0.005556992,0.515588369,0.005556522,0.005556177,0.181501614,0.00555775,"['Multi-agent systems', 'Fuses', 'Games', 'Heterogeneous agent', 'transformer', 'multi-agent reinforcement learning', 'Reinforcement learning', 'Transformers', 'Task analysis', 'Training']",control species activity antioxidant thailand,6,Environmental Science
61,Agency for Science,China,0.014285714,0.014285838,0.014286475,0.01428781,0.409682312,0.014286266,0.476026358,0.014286236,0.014286013,0.014286979,"['optimization algorithm', 'Roads', 'Vehicular edge computing', 'resource allocation', 'Urban areas', 'Delays', 'Vehicle dynamics', 'matching algorithm', 'Computational modeling', 'Handover', 'Servers']",vaccine learning drug thai molecular,2,Pharmaceutical Science
62,Agensi Nuklear Malaysia,France,0.004761905,0.004761999,0.004762007,0.004763245,0.004762006,0.004762072,0.95714101,0.004761911,0.004761919,0.004761926,"['Hadron-Hadron scattering (experiments)', 'Supersymmetry']",vaccine learning drug thai molecular,2,Pharmaceutical Science
64,Ahsanullah University of Science and Technology,Bangladesh,0.989534034,0.001162891,0.00116284,0.001162906,0.001162827,0.001162813,0.001162828,0.001163115,0.001162893,0.001162853,"['Energy Transport', 'Peak Power', 'Single Crystal Fibers', 'quartic soliton', 'Refractive Index Of Material', 'Single Fiber', 'Solitary Wave', 'Mathematical models', 'Perfectly Matched Layer', 'Optical fiber dispersion', 'Self-phase Modulation', 'Solitons', 'Microstructured Optical Fiber', 'Air Holes', 'Photonic Waveguides', 'Thermal Stability', 'Laser stability', 'Pulse Width', 'Single Material', 'Optical waveguides', 'Thermal stability', 'Black Dashed Line', 'Cataract Surgery', 'Nonlinear Optical', 'Single Crystal', 'Ps Pulse', 'Microfabrication', 'Optical fibers', 'Fourth order dispersion', 'High Index', 'Photonic crystal fiber', 'Pulse Generator', 'Optical Fiber']",learning network data model neural,3,Artificial Intelligence
65,Ain Shams University,France,0.009091049,0.009093767,0.009092147,0.009093579,0.00909322,0.190223871,0.009091084,0.402106196,0.344022973,0.009092115,['Not Available'],carbon oil acid properties kidney,9,Chemical Science
66,Air University,Pakistan,0.600122632,0.390987506,0.001111181,0.001111396,0.001111155,0.001111254,0.001111191,0.001111161,0.001111332,0.001111192,"['Location awareness', 'Digital Filter', 'Pedestrian Dead Reckoning', 'Dead Reckoning', 'Indoor Navigation', 'Machine learning', 'Localization Accuracy', 'Localization Techniques', 'Hybrid Model', 'Indoor Localization', 'Sensor Fusion Algorithm', 'Wireless', 'an inertial navigation system', 'sensor fusion', 'Local Services', 'Inertial Navigation', 'K-nearest Neighbor', 'Kalman Filter', 'Local System', 'Global Positioning System', 'Local Algorithm', 'machine learning', 'Bluetooth', 'Object Position', 'Dead reckoning', 'Extended Kalman Filter', 'Radio Frequency Identification', 'Butterworth Digital Filter', 'Object Detection', 'Global Navigation Satellite System', 'Positioning System', 'Magnetometer', 'Machine learning algorithms', 'Inertial Measurement Unit', 'Indoor Environments', 'BLE', 'pedestrian dead reckoning', 'Accelerometer', 'PDR', 'Multi-storey', 'Estimation', 'Indoor navigation', 'Position Estimation']",learning network data model neural,3,Artificial Intelligence
69,Ajmer,India,0.007694899,0.007694881,0.007692438,0.007693353,0.007694357,0.095128968,0.00769258,0.007694936,0.843320939,0.00769265,"['Healthcare Costs', 'Costs', 'Early Detection', 'Learning Algorithms', 'Decision Support System', 'Machine Learning Systems', 'Early Diagnosis', 'Gradient Boosting', 'Lower Healthcare Costs', 'Machine Learning (ML)', 'F1 Score', 'Sepsis Patients', 'Clinical Decision Support Systems', 'Septic Shock', 'Decision making', 'Prediction Algorithms', 'Vital Signs', 'Target Variable', 'Ethics', 'Decision Tree', 'Patient Outcomes', 'Sepsis Survivors', 'Early Diagnosis Of Sepsis', 'Patient Care', 'Legionella', 'Clinical Decision-making', 'Complex Statistical Models', 'Machine learning algorithms', 'Prediction Time', 'Weak Learners', 'Sepsis', 'Detection Of Sepsis', 'Early Sepsis', 'Fast Prediction', 'Medical services', 'Training Time', 'Training', 'Performance Of Algorithm', 'Hospital Patients', 'Early Sepsis Detection']",energy power voltage analysis electric,8,Energy and Power Systems
70,Akita University,Japan,0.899988762,0.011117437,0.011111246,0.011111173,0.011111136,0.011111125,0.011113611,0.011112077,0.011111959,0.011111475,"['Measurement uncertainty', 'Shape', 'Size measurement', 'Electric variables measurement', 'Shape measurement', 'Contacts', 'Conductivity']",learning network data model neural,3,Artificial Intelligence
71,Al Ain University,Jordan,0.0125,0.0125,0.012501834,0.012500135,0.887496957,0.012500191,0.012500006,0.012500742,0.012500085,0.01250005,"['Transition Probabilities', 'Battery Capacity', 'Reinforcement Learning Algorithm', 'Markov Decision Process', 'State-value Function', 'Simulation', 'Multi-target Detection', 'Dynamic Target', 'Unmanned Aerial Vehicle Technology', 'Reinforcement Learning Agent', 'Q-learning', 'State Of Charge', 'Battery Level', 'Convergence Of Method', 'Surveillance', 'Unmanned Aerial Vehicles', 'Secondary Cell', 'Distance Function', 'Heuristic algorithms', 'Maximum Capacity', 'Exploration Algorithm', 'Target tracking', 'Optimal Position', 'Action-value Function', 'Charging stations', 'Spatial Configuration', 'Instantaneous Reward', 'Energy Levels', 'Value Function', 'Time Slot', 'Reinforcement learning', 'Autonomous aerial vehicles', 'Target Acquisition', 'Weight Function']",hiv thailand bone cells poly,5,Biomedical Research
81,Albert Einstein Healthcare Network,Thailand,0.011112483,0.011113977,0.363846046,0.011112318,0.338932041,0.011113705,0.011114087,0.011115249,0.011115042,0.219425051,"['Implantable cardioverter- defibrillator', 'Internal jugular vein thrombosis', 'Kidney transplant']",cancer health stress cell thailand,0,Medical Science
82,Alice Ho Miu Ling Nethersole Hospital,France,0.01,0.010000134,0.010000014,0.010008589,0.010000094,0.01,0.909990909,0.010000105,0.01,0.010000155,"['entecavir', 'HBeAg negative hepatitis B virus infection', 'nucleos(t)ide discontinuation', 'tenofovir', 'Virological relapse']",vaccine learning drug thai molecular,2,Pharmaceutical Science
83,Aligarh Muslim University,India,0.787692166,0.123406119,0.011111532,0.011111211,0.011112162,0.0111173,0.01111271,0.011111917,0.011113773,0.011111111,"['Cardinality Constraint', 'Particle Swarm Optimization', 'Data analysis', 'Portfolio Selection', 'Metaheuristics', 'Optimal Portfolio', 'Asexual Reproduction', 'Measurement', 'Portfolio optimization', 'Hunting Behavior', 'Portfolios', 'Golden Eagle Optimization', 'Computational modeling', 'Stock markets', 'Stock Market', 'Hyperplane', 'Industries', 'Optimization Problem', 'Golden Eagle', 'Efficient Frontier', 'Attack Vector', 'Neural Network', 'Portfolio Selection Model', 'Harmony Search']",learning network data model neural,3,Artificial Intelligence
84,Alikhanov Institute for Theoretical and Experimental Physics,France,0.00500017,0.005001458,0.005001192,0.005000996,0.005003349,0.005001098,0.954990504,0.005000394,0.005000127,0.005000711,['Not Available'],vaccine learning drug thai molecular,2,Pharmaceutical Science
85,All India Institute of Medical Sciences,United Kingdom,0.265666668,0.007693091,0.672787285,0.007693532,0.007692987,0.00769253,0.007692788,0.007696035,0.007692505,0.007692579,['Not Available'],cancer health stress cell thailand,0,Medical Science
86,Allana Potash Corporation,United Kingdom,0.346437877,0.011114148,0.01111153,0.011113689,0.011111781,0.011113074,0.011113472,0.011113016,0.564658682,0.01111273,"['borehole', 'Danakil', 'Ethiopia', 'evaporite', 'rifting', 'seismology']",energy power voltage analysis electric,8,Energy and Power Systems
88,Alphavet Veterinary Diagnostic Imaging,United Kingdom,0.795203619,0.006666696,0.006666825,0.006666701,0.006666804,0.006666883,0.151460807,0.006666694,0.006667374,0.006667596,"['arterioportal fistula', 'arterioportal malformation', 'congenital vascular anomaly']",learning network data model neural,3,Artificial Intelligence
89,American University of the Middle East,Kuwait,0.007692644,0.007692593,0.007693776,0.007693973,0.007693501,0.007693065,0.007693085,0.00769577,0.930759237,0.007692355,"['Language Model', 'Clear Instructions', 'Smart cities', 'Learning Process', 'Misinformation', 'Methodological Assessment', 'Improper Use', 'Previous Word', 'ChatGPT', 'Artificial Intelligence Technology', 'Forecasting', 'Clear Objectives', 'Predictive models', 'Reflection Component', 'Accuracy', 'Transformers', 'Foundation Model', 'Sequence Of Words', 'Application Of Knowledge', 'Academic Integrity', 'Communication Skills', 'Artificial intelligence', 'Learning Outcomes', 'Context modeling', 'Artificial intelligence (AI)', 'Standards', 'Computer Use', 'Constructive Feedback', 'Chatbots', 'Use Of Artificial Intelligence', 'Student Understanding', 'Technological innovation', 'Assessment methodologies', 'Research Papers', 'Academic integrity', 'Era Of Artificial Intelligence', 'Critical Thinking', 'Assessment Tasks', 'Evaluation strategies', 'Real-world Context', 'Learning Objectives', 'Artificial Intelligence Tools']",energy power voltage analysis electric,8,Energy and Power Systems
90,Amity University Jharkhand,India,0.329747858,0.007692717,0.007692308,0.608711672,0.007692345,0.00769343,0.00769235,0.007692308,0.007692685,0.007692327,"['Major Regions', 'Botanical Research', 'Possibility Of Application', 'Neural Network', 'Learning Algorithms', 'Neural networks', 'Support Vector Machine', 'Statistics', 'Accuracy', 'Image Processing', 'Image Classification', 'Computer Vision', 'Multilayer Perceptron', 'Manuals', 'Second Derivative', 'Big Data Analytics', 'Canny Edge Detection', 'Iris', 'Manual Feature Extraction', 'Gaussian Blur', 'Neural Net', 'Image segmentation', 'Scaling Factor', 'Artificial Neural Network', 'Plant Identification', 'Deep learning', 'Deep Learning', 'Image-based System', 'Convolutional Neural Network', 'Fast Forward', 'Convex Hull', 'Computational modeling', 'Flora Segmentation']",covid 19 analysis optical acid,4,Disease Analysis
91,Amrita Vishwa Vidayapeetham,India,0.002041173,0.981630633,0.002040986,0.002041091,0.002040944,0.00204132,0.002040907,0.002040998,0.002041044,0.002040904,"['Facial Landmark Detection', 'Face Position', 'Facial Emotion Recognition', 'Semantic segmentation', 'Benchmark Datasets', 'Predictive models', 'Low-resolution Images', 'Benchmark testing', 'Convolutional Neural Network', 'Machine Learning Library', 'Facial Appearance', 'Face Recognition', 'Video Frames', 'Face Detection', 'Image motion analysis', 'Computer Vision', 'Python Module', 'Head Pose', 'Facial Expressions', 'Optical Flow Approach', 'Deepfake', 'Maintenance engineering', 'Deep Learning', 'Computer Vision Problems', 'Landmark Detection', 'Ultraviolet sources', 'Facial Points', 'Emotion Recognition', 'Computational modeling', 'Face Images', 'media pipe Facial Landmark', 'Semantic Segmentation', 'Ability Of The Device', 'Optical Flow', 'Common Methodology', 'Python Library', 'Face Model', 'OpenCV', 'Human Faces']",cells frequency antenna communication array,7,Telecommunication Engineering
92,Amrita Vishwa Vidyapeetham,India,0.012500262,0.012500951,0.012500847,0.486818555,0.012501823,0.012500126,0.012501757,0.413173038,0.01250154,0.012501102,"['Low-density Lipoprotein Cholesterol', 'F1 Score', 'Classification', 'Stratified Sampling', 'Prediction Model', 'Addiction', 'Learning Algorithms', 'Machine Learning Models', 'LightGBM', 'Target Variable', 'Random Forest Method', 'Naive Bayes', 'Medical parameters', 'Unhealthy Habits', 'Explainable AI', 'Receiver Operating Characteristic Curve', 'Mental health', 'Explainability AI', 'Machine learning', 'Random Forest', 'Extreme Gradient Boosting', 'Drinker', 'Smoker', 'Logistic regression', 'Machine Learning', 'Gradient Boosting', 'Alcohol Consumption', 'Secondhand Smoke', 'Tobacco Use', 'Smoking Intensity', 'Explainable Artificial Intelligence', 'Decision Tree', 'Alcoholic', 'Decision making', 'AdaBoost', 'Machine Learning Classification Models', 'K-nearest Neighbor', 'Boosting', 'Drinking Habits', 'Unstructured Data', 'Insurance', 'XGBoost', 'Logistic Regression']",covid 19 analysis optical acid,4,Disease Analysis
93,Amritsar,India,0.754024685,0.001265981,0.001265901,0.001266017,0.235846707,0.00126589,0.001266089,0.001266034,0.001266007,0.001266691,"['Immigration Rates', 'Wireless sensor networks', 'Mutation Rate', 'Network Lifetime', 'Island Biogeography', 'Energy consumption', 'Dense Clusters', 'Cluster Head', 'Simulation', 'Wireless communication', 'Combinatorial Optimization Problem', 'Emigration Rates', 'Load Distribution', 'Biogeography-based Optimization', 'Received Signal Strength Indicator', 'Stability', 'Residual Energy', 'Power demand', 'Fitness Function', 'Throughput', 'Clustering', 'Wireless Sensor Networks', 'Clustering Method', 'Suitability Index', 'Biogeography-based optimization', 'Clustering algorithms', 'Increase In Lifetime', 'Clustering Process', 'Species Counts', 'Sensor Networks', 'Load Balancing', 'Heterogeneous Wireless Sensor Networks', 'Normal Nodes', 'Clustering Problem', 'Clustering methods']",learning network data model neural,3,Artificial Intelligence
94,Angthong Hospital,Thailand,0.011111208,0.011111553,0.011111209,0.01111133,0.011111111,0.011111111,0.01111155,0.563505603,0.347602357,0.011112969,"['Bamboo', 'Charcoal production', 'Heat distribution pipe', 'Metal kiln', 'Wood vinegar']",carbon oil acid properties kidney,9,Chemical Science
